Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","2165","Aceite, palma","2000","2000","toneladas","137051","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","2165","Aceite, palma","2001","2001","toneladas","149868","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","2165","Aceite, palma","2002","2002","toneladas","128400","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","2165","Aceite, palma","2003","2003","toneladas","131460","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","2165","Aceite, palma","2004","2004","toneladas","158700","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","2165","Aceite, palma","2005","2005","toneladas","179400","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","2165","Aceite, palma","2006","2006","toneladas","196300","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","2165","Aceite, palma","2007","2007","toneladas","189750","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","2165","Aceite, palma","2008","2008","toneladas","198536","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","2165","Aceite, palma","2009","2009","toneladas","206482","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","2165","Aceite, palma","2010","2010","toneladas","226734","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","2165","Aceite, palma","2011","2011","toneladas","241500","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","2165","Aceite, palma","2012","2012","toneladas","255588","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","2165","Aceite, palma","2013","2013","toneladas","299911","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","2165","Aceite, palma","2014","2014","toneladas","203413","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","2165","Aceite, palma","2015","2015","toneladas","187680","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","2165","Aceite, palma","2016","2016","toneladas","250573","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","2165","Aceite, palma","2017","2017","toneladas","252034","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","2165","Aceite, palma","2018","2018","toneladas","250194","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","2165","Aceite, palma","2019","2019","toneladas","247800","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","2165","Aceite, palma","2020","2020","toneladas","260100","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","2165","Aceite, palma","2021","2021","toneladas","265903","A","Cifra oficial",""
